bibkey,ss_id,all_ss_ids,comment
Ghaf15,aa66d8655463fa432fd3ce023e6ad10eec2d337a,,single doi match
Ghaf16,19ef79992e71a374d59f8be3feb93125fd7815d9,,single doi match
Ghaf16a,ea864dd65dfd1207fde07941ceaf1bda38ba9c1b,,single doi match
Ghaf17a,7f7990b0d4a5f7b356d06c7017a337b5ae3b31cf,,single doi match
Ghaf17b,102a580a89b7e9d5a6d8e79864db183d6b5fb6ad,,single doi match
Ghaf17c,91feb0cb04d67a5c38d0a4e7c67fc7874491abc6,"['91feb0cb04d67a5c38d0a4e7c67fc7874491abc6', '925024223075dcc5b4db81f4b07eddf2cbdf4519']","multiple doi matches ['91feb0cb04d67a5c38d0a4e7c67fc7874491abc6', '925024223075dcc5b4db81f4b07eddf2cbdf4519'], took the first one with most citations"
Ghaf18,2e11acb5e60b59af637cc7faea6e390ed6a9429b,,single doi match
Gibs17,91628553dee20285dd23c7a77bcc1b9510abe0c8,,single doi match
Gibs18,7920c85aa097d57a787de42802120aaaf3f94ae9,,single doi match
Giet10,2262ebcd92f9597d37813d0d3d27d397260cf674,,single doi match
Gige13,7b178f081b9c64dae9141dc9d197f49934b00c58,,single doi match
Ginn00,68c218a07341bf3a5fd2a587ef4cfb1845046798,,single doi match
Ginn00a,54b1c3215b4de092378641f88dcd39a773671cd1,,single doi match
Ginn00b,b6c2b03aef8689cbd5bbe2cae322eaaea832b7f6,,single doi match
Ginn01b,793cc33a9f29953685ca942d513e82870e9ccd13,,single doi match
Ginn01c,ceddfad717e3e521d337f35904a1c78c1d75c490,,single doi match
Ginn02,99840ed7cc49c379273099b57bf58f55f5274e64,,single doi match
Ginn02a,cdc58c3da5a84aa0cb1bc0d38d35c094c3e34579,,single doi match
Ginn03a,3d2b3cfbd2d98c33a3667c5f13b12344353582f8,,single doi match
Ginn03b,631209b8421b31dc7911d58a324a8afa4cb29dcd,,single doi match
Ginn04,5213634acf39625658b52e14b18b2fcc322044c6,,single doi match
Ginn06,5eb2d7ba6741a54d50102b8efbc99cafa0db189c,,single doi match
Ginn06a,eb2b4becf4429230504117b0654db1b7760695d8,,single doi match
Ginn08,d38f3d596081bef8ffe67e92d112e0633d0be0fe,,single doi match
Ginn08b,1a0ce62f3c2a0c435c4493e3b287d9c481aef1c7,,single doi match
Ginn09a,1bdcdb8e63f995041451642c53c434face9033f7,,single doi match
Ginn10,d78b9eeb7c70a82eb7f329d89af9fea0ccb88ca9,,single doi match
Ginn10a,39ae90f765547171cc6163ba3ab2e977c86c03d3,,single doi match
Ginn11,cb1fabd765f28f4e61a5e6771b1468cb9a113fc4,,single doi match
Ginn15,81570ccbf4a1edb8898e8969f9befa3561e46318,,single doi match
Ginn17,b69fe5a837277ddbea5215d6bacd3a902e9d11ce,,single doi match
Ginn18,f46d34f0234422fb7db3837dd2b32efe03fc6e9a,,single doi match
Ginn20,11cfab281e93fa7803931be8b589aa1f09d7af02,,single doi match
Ginn22,13d81eb12871aa6a4f15fc5c9b127bc320f55179,,single doi match
Ginn99a,99042acbce8ec757d91749259821dce751a9a809,,single doi match
Ginn99b,8ae7d6146b6d9ed23f6b35f8fa23d3b467bdecef,,single doi match
Giro22,8c882c8737d351dfe19e663228e4c3bd2cafa992,,single doi match
Gish14,cb1b0ac31149df13be8ea554792b8379f31e3d7f,,single doi match
